Items,BubbleSort Time,HeapSort Times,InsertionSort Times,SelectionSort Times
2,5.40E-06,1.56E-04,5.70E-06,6.30E-06
4,2.50E-06,8.00E-06,1.70E-06,1.60E-06
8,2.10E-06,8.10E-06,2.80E-06,2.19E-05
16,4.90E-06,1.54E-05,8.00E-06,2.02E-05
32,4.24E-05,4.97E-05,3.23E-05,2.98E-05
64,7.28E-05,1.09E-04,1.00E-04,3.36E-05
128,3.30E-04,3.13E-04,3.85E-04,1.68E-04
256,0.0010206,0.0010235,0.001078,9.00E-05
512,0.0018111,5.17E-04,0.0018749,3.26E-04
1024,0.0019984,0.001434,0.0012715,0.001244
2048,0.0062189,0.005525,0.0069183,0.0031385
4096,0.0081748,0.0109435,0.0197665,0.0038845
8192,0.0432081,0.0332522,0.0970373,0.0148447
16384,0.2340544,0.1308294,0.398871,0.0582693
32768,1.1727956,0.5428098,1.7189419,0.2304724
65536,5.0878377,2.0920525,7.5808851,1.0107327
131072,20.4406306,7.3683115,30.3953458,4.1952608
262144,82.1670823,29.2892235,122.8471417,16.6714881
524288,331.8508541,116.8328044,494.4462595,67.0919541
