Items,Bubble Compare,Heap Compares,Insertion Compares,Selection Compares,,,,,,,,,,,,
2,1,1,1,0,,,,,,,,,,,,
4,3,3,3,2,,,,,,,,,,,,
8,15,18,8,14,,,,,,,,,,,,
16,68,64,70,36,,,,,,,,,,,,
32,345,199,347,111,,,,,,,,,,,,
64,1297,571,1280,315,,,,,,,,,,,,
128,5408,1499,5126,727,,,,,,,,,,,,v
256,22253,3791,22341,1843,,,,,,,,,,,,
512,84497,9025,87515,4234,,,,,,,,,,,,
1024,349501,21090,354669,9952,,,,,,,,,,,,
2048,1388620,48234,1398898,22462,,,,,,,,,,,,
4096,5679920,108695,5586396,51432,,,,,,,,,,,,
8192,22487569,241933,22264230,113714,,,,,,,,,,,,
16384,90431398,532708,89632507,247966,,,,,,,,,,,,
32768,361422275,1162953,356256786,542341,,,,,,,,,,,,
65536,1430880990,2522355,1428404557,1179546,,,,,,,,,,,,
131072,1435888926,5438025,1424540094,2541432,,,,,,,,,,,,
262144,1404370448,11663060,1422469642,5430001,,,,,,,,,,,,
524288,1364873253,24900725,1454864057,11594941,,,,,,,,,,,,
